     trial      time    xTrans    yTrans    zTrans      xRot      yRot      zRot         
        p1         0      4.95     -1.95  0.533333       290         0       315         
        p1      0.04      4.95     -1.95  0.533333       290         0       315         
        p1      0.06      4.95     -1.95  0.533333       290         0       315         
        p1      0.08      4.95     -1.95  0.533333       290         0       315         
        p1       0.1      4.95     -1.95  0.533333       290         0       315         
        p1      0.12      4.95     -1.95  0.533333       290         0       315         
        p1      0.14      4.95     -1.95  0.533333       290         0       315         
        p1      0.16      4.95     -1.95  0.533333       290         0       315         
        p1      0.18      4.95     -1.95  0.533333       290         0       315         
        p1       0.2      4.95     -1.95  0.533333       290         0       315         
        p1      0.22      4.95     -1.95  0.533333       290         0       315         
        p1      0.24      4.95     -1.95  0.533333       290         0       315         
        p1      0.26      4.95     -1.95  0.533333       290         0       315         
        p1      0.28      4.95     -1.95  0.533333       290         0       315         
        p1       0.3      4.95     -1.95  0.533333       290         0       315         
        p1      0.32      4.95     -1.95  0.533333       290         0       315         
        p1      0.34      4.95     -1.95  0.533333       290         0       315         
        p1      0.36      4.95     -1.95  0.533333       290         0       315         
        p1      0.38      4.95     -1.95  0.533333       290         0       315         
        p1       0.4      4.95     -1.95  0.533333       290         0       315         
        p1      0.42      4.95     -1.95  0.533333       290         0       315         
        p1      0.44      4.95     -1.95  0.533333       290         0       315         
        p1      0.46      4.95     -1.95  0.533333       290         0       315         
        p1      0.48      4.95     -1.95  0.533333       290         0       315         
        p1       0.5      4.95     -1.95  0.533333       290         0       315         
        p1      0.52      4.95     -1.95  0.533333       290         0       315         
        p1      0.54      4.95     -1.95  0.533333       290         0       315         
        p1      0.56      4.95     -1.95  0.533333       290         0       315         
        p1      0.58      4.95     -1.95  0.533333       290         0       315         
        p1       0.6      4.95     -1.95  0.533333       290         0       315         
        p1      0.62      4.95     -1.95  0.533333       290         0       315         
        p1      0.64      4.95     -1.95  0.533333       290         0       315         
        p1      0.66      4.95     -1.95  0.533333       290         0       315         
        p1      0.68      4.95     -1.95  0.533333       290         0       315         
        p1       0.7      4.95     -1.95  0.533333       290         0       315         
        p1      0.72      4.95     -1.95  0.533333       290         0       315         
        p1      0.74      4.95     -1.95  0.533333       290         0       315         
        p1      0.76      4.95     -1.95  0.533333       290         0       315         
        p1      0.78      4.95     -1.95  0.533333       290         0       315         
        p1       0.8      4.95     -1.95  0.533333       290         0       315         
        p1      0.82      4.95     -1.95  0.533333       290         0       315         
        p1      0.84      4.95     -1.95  0.533333       290         0       315         
        p1      0.86      4.95     -1.95  0.533333       290         0       315         
        p1      0.88      4.95     -1.95  0.533333       290         0       315         
        p1       0.9      4.95     -1.95  0.533333       290         0       315         
        p1      0.92      4.95     -1.95  0.533333       290         0       315         
        p1      0.94      4.95     -1.95  0.533333       290         0       315         
        p1      0.96      4.95     -1.95  0.533333       290         0       315         
        p1      0.98      4.95     -1.95  0.533333       290         0       315         
        p1         1      4.95     -1.95  0.533333       290         0       315         
        p1      1.02      4.95     -1.95  0.533333       290         0       315         
        p1      1.04      4.95     -1.95  0.533333       290         0       315         
        p1      1.06      4.95     -1.95  0.533333       290         0       315         
        p1      1.08      4.95     -1.95  0.533333       290         0       315         
        p1       1.1      4.95     -1.95  0.533333       290         0       315         
        p1      1.12      4.95     -1.95  0.533333       290         0       315         
        p1      1.14      4.95     -1.95  0.533333       290         0       315         
        p1      1.16      4.95     -1.95  0.533333       290         0       315         
        p1      1.18      4.95     -1.95  0.533333       290         0       315         
        p1       1.2      4.95     -1.95  0.533333       290         0       315         
        p1      1.22      4.95     -1.95  0.533333       290         0       315         
        p1      1.24      4.95     -1.95  0.533333       290         0       315         
        p1      1.26      4.95     -1.95  0.533333       290         0       315         
        p1      1.28      4.95     -1.95  0.533333       290         0       315         
        p1       1.3      4.95     -1.95  0.533333       290         0       315         
        p1      1.32      4.95     -1.95  0.533333       290         0       315         
        p1      1.34      4.95     -1.95  0.533333       290         0       315         
        p1      1.36      4.95     -1.95  0.533333       290         0       315         
        p1      1.38      4.95     -1.95  0.533333       290         0       315         
        p1       1.4      4.95     -1.95  0.533333       290         0       315         
        p1      1.42      4.95     -1.95  0.533333       290         0       315         
        p1      1.44      4.95     -1.95  0.533333       290         0       315         
        p1      1.46      4.95     -1.95  0.533333       290         0       315         
        p1      1.48      4.95     -1.95  0.533333       290         0       315         
        p1       1.5      4.95     -1.95  0.533333       290         0       315         
        p1      1.52      4.95     -1.95  0.533333       290         0       315         
        p1      1.54      4.95     -1.95  0.533333       290         0       315         
        p1      1.56      4.95     -1.95  0.533333       290         0       315         
        p1      1.58      4.95     -1.95  0.533333       290         0       315         
        p1       1.6      4.95     -1.95  0.533333       290         0       315         
        p1      1.62      4.95     -1.95  0.533333       290         0       315         
        p1      1.64      4.95     -1.95  0.533333       290         0       315         
        p1      1.66      4.95     -1.95  0.533333       290         0       315         
        p1      1.68      4.95     -1.95  0.533333       290         0       315         
        p1       1.7      4.95     -1.95  0.533333       290         0       315         
        p1      1.72      4.95     -1.95  0.533333       290         0       315         
        p1      1.74      4.95     -1.95  0.533333       290         0       315         
        p1      1.76      4.95     -1.95  0.533333       290         0       315         
        p1      1.78      4.95     -1.95  0.533333       290         0       315         
        p1       1.8      4.95     -1.95  0.533333       290         0       315         
        p1      1.82      4.95     -1.95  0.533333       290         0       315         
        p1      1.84      4.95     -1.95  0.533333       290         0       315         
        p1      1.86      4.95     -1.95  0.533333       290         0       315         
        p1      1.88      4.95     -1.95  0.533333       290         0       315         
        p1       1.9      4.95     -1.95  0.533333       290         0       315         
        p1      1.92      4.95     -1.95  0.533333       290         0       315         
        p1      1.94      4.95     -1.95  0.533333       290         0       315         
        p1      1.96      4.95     -1.95  0.533333       290         0       315         
        p1      1.98      4.95     -1.95  0.533333       290         0       315         
        p1         2      4.95     -1.95  0.533333       290         0       315         
        p1      2.02      4.95     -1.95  0.533333       290         0       315         
        p1      2.04      4.95     -1.95  0.533333       290         0       315         
        p1      2.06      4.95     -1.95  0.533333       290         0       315         
        p1      2.08      4.95     -1.95  0.533333       290         0       315         
        p1       2.1      4.95     -1.95  0.533333       290         0       315         
        p1      2.12      4.95     -1.95  0.533333       290         0       315         
        p1      2.14      4.95     -1.95  0.533333       290         0       315         
        p1      2.16      4.95     -1.95  0.533333       290         0       315         
        p1      2.18      4.95     -1.95  0.533333       290         0       315         
        p1       2.2      4.95     -1.95  0.533333       290         0       315         
        p1      2.22      4.95     -1.95  0.533333       290         0       315         
        p1      2.24      4.95     -1.95  0.533333       290         0       315         
        p1      2.26      4.95     -1.95  0.533333       290         0       315         
        p1      2.28      4.95     -1.95  0.533333       290         0       315         
        p1       2.3      4.95     -1.95  0.533333       290         0       315         
        p1      2.32      4.95     -1.95  0.533333       290         0       315         
        p1      2.34      4.95     -1.95  0.533333       290         0       315         
        p1      2.36      4.95     -1.95  0.533333       290         0       315         
        p1      2.38      4.95     -1.95  0.533333       290         0       315         
        p1       2.4      4.95     -1.95  0.533333       290         0       315         
        p1      2.42      4.95     -1.95  0.533333       290         0       315         
        p1      2.44      4.95     -1.95  0.533333       290         0       315         
        p1      2.46      4.95     -1.95  0.533333       289         0       314         
        p1      2.48      4.95     -1.95  0.533333       288         0       313         
        p1       2.5      4.95     -1.95  0.533333       287         0       313         
        p1      2.52      4.95     -1.95  0.533333       286         0       313         
        p1      2.54      4.95     -1.95  0.533333       285         0       313         
        p1      2.56      4.95     -1.95  0.533333       284         0       313         
        p1      2.58      4.95     -1.95  0.533333       283         0       313         
        p1       2.6      4.95     -1.95  0.533333       282         0       313         
        p1      2.62      4.95     -1.95  0.533333       281         0       314         
        p1      2.64      4.95     -1.95  0.533333       280         0       315         
        p1      2.66      4.95     -1.95  0.533333       279         0       316         
        p1      2.68      4.95     -1.95  0.533333       278         0       317         
        p1       2.7      4.95     -1.95  0.533333       277         0       318         
        p1      2.72      4.95     -1.95  0.533333       276         0       319         
        p1      2.74      4.95     -1.95  0.533333       275         0       320         
        p1      2.76      4.95     -1.95  0.533333       275         0       320         
        p1      2.78      4.95     -1.95  0.533333       275         0       320         
        p1       2.8      4.95     -1.95  0.533333       275         0       320         
        p1      2.82      4.95     -1.95  0.533333       275         0       320         
        p1      2.84      4.95     -1.95  0.533333       275         0       320         
        p1      2.86      4.95     -1.95  0.533333       275         0       321         
        p1      2.88      4.95     -1.95  0.533333       275         0       322         
        p1       2.9      4.95     -1.95  0.533333       276         0       323         
        p1      2.92      4.95     -1.95  0.533333       277         0       324         
        p1      2.94      4.95     -1.95  0.533333       278         0       325         
        p1      2.96      4.95     -1.95  0.533333       279         0       326         
        p1      2.98      4.95     -1.95  0.533333       280         0       327         
        p1         3      4.95     -1.95  0.533333       281         0       328         
        p1      3.02      4.95     -1.95  0.533333       281         0       329         
        p1      3.04      4.95     -1.95  0.533333       282         0       330         
        p1      3.06      4.95     -1.95  0.533333       283         0       331         
        p1      3.08      4.95     -1.95  0.533333       283         0       332         
        p1       3.1      4.95     -1.95  0.533333       284         0       333         
        p1      3.12      4.95     -1.95  0.533333       285         0       334         
        p1      3.14      4.95     -1.95  0.533333       286         0       334         
        p1      3.16      4.95     -1.95  0.533333       287         0       333         
        p1      3.18      4.95     -1.95  0.533333       288         0       332         
        p1       3.2      4.95     -1.95  0.533333       288         0       331         
        p1      3.22      4.95     -1.95  0.533333       288         0       330         
        p1      3.24      4.95     -1.95  0.533333       288         0       329         
        p1      3.26      4.95     -1.95  0.533333       287         0       328         
        p1      3.28      4.95     -1.95  0.533333       286         0       327         
        p1       3.3      4.95     -1.95  0.533333       286         0       326         
        p1      3.32      4.95     -1.95  0.533333       286         0       325         
        p1      3.34      4.95     -1.95  0.533333       286         0       324         
        p1      3.36      4.95     -1.95  0.533333       286         0       323         
        p1      3.38      4.95     -1.95  0.533333       286         0       322         
        p1       3.4      4.95     -1.95  0.533333       285         0       321         
        p1      3.42      4.95     -1.95  0.533333       284         0       320         
        p1      3.44      4.95     -1.95  0.533333       284         0       319         
        p1      3.46      4.95     -1.95  0.533333       284         0       318         
        p1      3.48      4.95     -1.95  0.533333       284         0       317         
        p1       3.5      4.95     -1.95  0.533333       284         0       316         
        p1      3.52      4.95     -1.95  0.533333       284         0       315         
        p1      3.54      4.95     -1.95  0.533333       284         0       315         
        p1      3.56      4.95     -1.95  0.533333       284         0       315         
        p1      3.58      4.95     -1.95  0.533333       284         0       314         
        p1       3.6      4.95     -1.95  0.533333       284         0       313         
        p1      3.62      4.95     -1.95  0.533333       284         0       312         
        p1      3.64      4.95     -1.95  0.533333       284         0       311         
        p1      3.66      4.95     -1.95  0.533333       284         0       310         
        p1      3.68      4.95     -1.95  0.533333       284         0       309         
        p1       3.7      4.95     -1.95  0.533333       284         0       308         
        p1      3.72      4.95     -1.95  0.533333       284         0       307         
        p1      3.74      4.95     -1.95  0.533333       284         0       306         
        p1      3.76      4.95     -1.95  0.533333       283         0       305         
        p1      3.78      4.95     -1.95  0.533333       283         0       304         
        p1       3.8      4.95     -1.95  0.533333       283         0       303         
        p1      3.82      4.95     -1.95  0.533333       283         0       302         
        p1      3.84      4.95     -1.95  0.533333       283         0       301         
        p1      3.86      4.95     -1.95  0.533333       283         0       300         
        p1      3.88      4.95     -1.95  0.533333       283         0       299         
        p1       3.9      4.95     -1.95  0.533333       283         0       298         
        p1      3.92      4.95     -1.95  0.533333       283         0       297         
        p1      3.94      4.95     -1.95  0.533333       283         0       296         
        p1      3.96      4.95     -1.95  0.533333       283         0       295         
        p1      3.98      4.95     -1.95  0.533333       283         0       294         
        p1         4      4.95     -1.95  0.533333       283         0       293         
        p1      4.02      4.95     -1.95  0.533333       283         0       292         
        p1      4.04      4.95     -1.95  0.533333       283         0       291         
        p1      4.06      4.95     -1.95  0.533333       283         0       290         
        p1      4.08      4.95     -1.95  0.533333       283         0       289         
        p1       4.1      4.95     -1.95  0.533333       283         0       288         
        p1      4.12      4.95     -1.95  0.533333       283         0       287         
        p1      4.14      4.95     -1.95  0.533333       283         0       286         
        p1      4.16      4.95     -1.95  0.533333       283         0       285         
        p1      4.18      4.95     -1.95  0.533333       283         0       284         
        p1       4.2      4.95     -1.95  0.533333       283         0       283         
        p1      4.22      4.95     -1.95  0.533333       283         0       282         
        p1      4.24      4.95     -1.95  0.533333       283         0       281         
        p1      4.26      4.95     -1.95  0.533333       283         0       280         
        p1      4.28      4.95     -1.95  0.533333       283         0       279         
        p1       4.3      4.95     -1.95  0.533333       283         0       278         
        p1      4.32      4.95     -1.95  0.533333       283         0       277         
        p1      4.34      4.95     -1.95  0.533333       283         0       276         
        p1      4.36      4.95     -1.95  0.533333       283         0       276         
        p1      4.38      4.95     -1.95  0.533333       283         0       276         
        p1       4.4      4.95     -1.95  0.533333       283         0       276         
        p1      4.42      4.95     -1.95  0.533333       283         0       276         
        p1      4.44      4.95     -1.95  0.533333       284         0       276         
        p1      4.46      4.95     -1.95  0.533333       285         0       276         
        p1      4.48      4.95     -1.95  0.533333       286         0       276         
        p1       4.5      4.95     -1.95  0.533333       287         0       276         
        p1      4.52      4.95     -1.95  0.533333       288         0       276         
        p1      4.54      4.95     -1.95  0.533333       289         0       276         
        p1      4.56      4.95     -1.95  0.533333       290         0       277         
        p1      4.58      4.95     -1.95  0.533333       291         0       278         
        p1       4.6      4.95     -1.95  0.533333       292         0       279         
        p1      4.62      4.95     -1.95  0.533333       293         0       280         
        p1      4.64      4.95     -1.95  0.533333       294         0       281         
        p1      4.66      4.95     -1.95  0.533333       295         0       282         
        p1      4.68      4.95     -1.95  0.533333       295         0       283         
        p1       4.7      4.95     -1.95  0.533333       295         0       284         
        p1      4.72      4.95     -1.95  0.533333       295         0       285         
        p1      4.74      4.95     -1.95  0.533333       296         0       286         
        p1      4.76      4.95     -1.95  0.533333       297         0       287         
        p1      4.78      4.95     -1.95  0.533333       298         0       288         
        p1       4.8      4.95     -1.95  0.533333       299         0       289         
        p1      4.82      4.95     -1.95  0.533333       299         0       290         
        p1      4.84      4.95     -1.95  0.533333       299         0       291         
        p1      4.86      4.95     -1.95  0.533333       299         0       292         
        p1      4.88      4.95     -1.95  0.533333       299         0       293         
        p1       4.9      4.95     -1.95  0.533333       299         0       294         
        p1      4.92      4.95     -1.95  0.533333       299         0       295         
        p1      4.94      4.95     -1.95  0.533333       298         0       296         
        p1      4.96      4.95     -1.95  0.533333       297         0       297         
        p1      4.98      4.95     -1.95  0.533333       297         0       298         
        p1         5      4.95     -1.95  0.533333       297         0       299         
        p1      5.02      4.95     -1.95  0.533333       296         0       300         
        p1      5.04      4.95     -1.95  0.533333       295         0       301         
        p1      5.06      4.95     -1.95  0.533333       294         0       302         
        p1      5.08      4.95     -1.95  0.533333       293         0       303         
        p1       5.1      4.95     -1.95  0.533333       292         0       303         
        p1      5.12      4.95     -1.95  0.533333       291         0       303         
        p1      5.14      4.95     -1.95  0.533333       290         0       304         
        p1      5.16      4.95     -1.95  0.533333       289         0       304         
        p1      5.18      4.95     -1.95  0.533333       289         0       305         
        p1       5.2      4.95     -1.95  0.533333       288         0       305         
        p1      5.22      4.95     -1.95  0.533333       287         0       305         
        p1      5.24      4.95     -1.95  0.533333       286         0       305         
        p1      5.26      4.95     -1.95  0.533333       285         0       306         
        p1      5.28      4.95     -1.95  0.533333       284         0       306         
        p1       5.3      4.95     -1.95  0.533333       283         0       307         
        p1      5.32      4.95     -1.95  0.533333       282         0       307         
        p1      5.34      4.95     -1.95  0.533333       281         0       307         
        p1      5.36      4.95     -1.95  0.533333       280         0       307         
        p1      5.38      4.95     -1.95  0.533333       279         0       307         
        p1       5.4      4.95     -1.95  0.533333       278         0       307         
        p1      5.42      4.95     -1.95  0.533333       277         0       307         
        p1      5.44      4.95     -1.95  0.533333       276         0       307         
        p1      5.46      4.95     -1.95  0.533333       275         0       307         
        p1      5.48      4.95     -1.95  0.533333       274         0       307         
        p1       5.5      4.95     -1.95  0.533333       273         0       306         
        p1      5.52      4.95     -1.95  0.533333       272         0       306         
        p1      5.54      4.95     -1.95  0.533333       271         0       305         
        p1      5.56      4.95     -1.95  0.533333       270         0       305         
        p1      5.58      4.95     -1.95  0.533333       269         0       304         
        p1       5.6      4.95     -1.95  0.533333       269         0       304         
        p1      5.62      4.95     -1.95  0.533333       269         0       304         
        p1      5.64      4.95     -1.95  0.533333       269         0       304         
        p1      5.66      4.95     -1.95  0.533333       269         0       304         
        p1      5.68      4.95     -1.95  0.533333       269         0       304         
        p1       5.7      4.95     -1.95  0.533333       269         0       304         
        p1      5.72      4.95     -1.95  0.533333       270         0       303         
        p1      5.74      4.95     -1.95  0.533333       271         0       302         
        p1      5.76      4.95     -1.95  0.533333       272         0       302         
        p1      5.78      4.95     -1.95  0.533333       273         0       302         
        p1       5.8      4.95     -1.95  0.533333       274         0       302         
        p1      5.82      4.95     -1.95  0.533333       275         0       302         
        p1      5.84      4.95     -1.95  0.533333       275         0       302         
        p1      5.86      4.95     -1.95  0.533333       275         0       302         
        p1      5.88      4.95     -1.95  0.533333       275         0       302         
        p1       5.9      4.95     -1.95  0.533333       275         0       302         
        p1      5.92      4.95     -1.95  0.533333       275         0       302         
        p1      5.94      4.95     -1.95  0.533333       275         0       302         
        p1      5.96      4.95     -1.95  0.533333       275         0       302         
        p1      5.98      4.95     -1.95  0.533333       275         0       302         
        p1         6      4.95     -1.95  0.533333       275         0       302         
        p1      6.02      4.95     -1.95  0.533333       275         0       302         
        p1      6.04      4.95     -1.95  0.533333       275         0       302         
        p1      6.06      4.95     -1.95  0.533333       275         0       302         
        p1      6.08      4.95     -1.95  0.533333       275         0       302         
        p1       6.1      4.95     -1.95  0.533333       276         0       302         
        p1      6.12      4.95     -1.95  0.533333       277         0       303         
        p1      6.14      4.95     -1.95  0.533333       278         0       304         
        p1      6.16      4.95     -1.95  0.533333       278         0       304         
        p1      6.18      4.95     -1.95  0.533333       278         0       304         
        p1       6.2      4.95     -1.95  0.533333       278         0       304         
        p1      6.22      4.95     -1.95  0.533333       278         0       304         
        p1      6.24      4.95     -1.95  0.533333       278         0       304         
        p1      6.26      4.95     -1.95  0.533333       278         0       304         
        p1      6.28      4.95     -1.95  0.533333       278         0       304         
        p1       6.3      4.95     -1.95  0.533333       278         0       304         
        p1      6.32      4.95     -1.95  0.533333       278         0       304         
        p1      6.34      4.95     -1.95  0.533333       278         0       304         
        p1      6.36      4.95     -1.95  0.533333       278         0       304         
        p1      6.38      4.95     -1.95  0.533333       278         0       304         
        p1       6.4      4.95     -1.95  0.533333       278         0       304         
        p1      6.42      4.95     -1.95  0.533333       278         0       304         
        p1      6.44      4.95     -1.95  0.533333       278         0       304         
        p1      6.46      4.95     -1.95  0.533333       278         0       304         
        p1      6.48      4.95     -1.95  0.533333       278         0       304         
        p1       6.5      4.95     -1.95  0.533333       278         0       304         
        p1      6.52      4.95     -1.95  0.533333       278         0       304         
        p1      6.54      4.95     -1.95  0.533333       278         0       304         
        p1      6.56      4.95     -1.95  0.533333       278         0       304         
        p1      6.58      4.95     -1.95  0.533333       278         0       304         
        p1       6.6      4.95     -1.95  0.533333       278         0       304         
        p1      6.62      4.95     -1.95  0.533333       278         0       304         
        p1      6.64      4.95     -1.95  0.533333       278         0       304         
        p1      6.66      4.95     -1.95  0.533333       278         0       304         
        p1      6.68      4.95     -1.95  0.533333       278         0       304         
        p1       6.7      4.95     -1.95  0.533333       278         0       304         
        p1      6.72      4.95     -1.95  0.533333       278         0       304         
        p1      6.74      4.95     -1.95  0.533333       278         0       304         
        p1      6.76      4.95     -1.95  0.533333       278         0       304         
        p1      6.78      4.95     -1.95  0.533333       278         0       304         
        p1       6.8      4.95     -1.95  0.533333       278         0       304         
        p1      6.82      4.95     -1.95  0.533333       278         0       304         
        p1      6.84      4.95     -1.95  0.533333       278         0       304         
        p1      6.86      4.95     -1.95  0.533333       278         0       304         
        p1      6.88      4.95     -1.95  0.533333       278         0       304         
        p1       6.9      4.95     -1.95  0.533333       278         0       304         
        p1      6.92      4.95     -1.95  0.533333       278         0       304         
        p1      6.94      4.95     -1.95  0.533333       278         0       304         
        p1      6.96      4.95     -1.95  0.533333       278         0       304         
        p1      6.98      4.95     -1.95  0.533333       278         0       304         
        p1         7      4.95     -1.95  0.533333       278         0       304         
        p1      7.02      4.95     -1.95  0.533333       278         0       304         
        p1      7.04      4.95     -1.95  0.533333       278         0       304         
        p1      7.06      4.95     -1.95  0.533333       278         0       304         
        p1      7.08      4.95     -1.95  0.533333       278         0       304         
        p1       7.1      4.95     -1.95  0.533333       278         0       304         
        p1      7.12      4.95     -1.95  0.533333       278         0       304         
        p1      7.14      4.95     -1.95  0.533333       278         0       304         
        p1      7.16      4.95     -1.95  0.533333       278         0       304         
        p1      7.18      4.95     -1.95  0.533333       278         0       304         
        p1       7.2      4.95     -1.95  0.533333       278         0       304         
        p1      7.22      4.95     -1.95  0.533333       278         0       304         
        p1      7.24      4.95     -1.95  0.533333       278         0       304         
        p1      7.26      4.95     -1.95  0.533333       278         0       304         
        p1      7.28      4.95     -1.95  0.533333       278         0       304         
        p1       7.3      4.95     -1.95  0.533333       278         0       304         
        p1      7.32      4.95     -1.95  0.533333       278         0       304         
